category,city,district,name
渡口类,南京市,秦淮区,桃叶渡
渡口类,南京市,六合区,瓜埠古渡
渡口类,无锡市,江阴市,黄田港
渡口类,常州市,天宁区,白云渡
渡口类,常州市,钟楼区,西蠡渡
渡口类,常州市,武进区,孙第桥码头
渡口类,常州市,溧阳市,南渡
渡口类,苏州市,虎丘区,横塘渡
渡口类,苏州市,吴中区,三山码头
渡口类,苏州市,姑苏区,万人码头
渡口类,苏州市,吴江区,师俭堂码头
渡口类,苏州市,吴江区,胥滩古渡
渡口类,苏州市,张家港市,黄泗浦港
渡口类,苏州市,太仓市,刘家港
渡口类,苏州市,太仓市,南码头
渡口类,南通市,崇川区,陈桥渡口
渡口类,南通市,海门区,青龙港
渡口类,连云港市,连云区,西连岛码头
渡口类,连云港市,连云区,西市码头
渡口类,连云港市,赣榆区,青口港
渡口类,淮安市,淮安区,平桥渡
渡口类,淮安市,淮阴区,王家营渡口
渡口类,淮安市,清江浦区,臧家码头
渡口类,盐城市,东台市,月塘湾
渡口类,扬州市,广陵区,东关古渡
渡口类,扬州市,邗江区,瓜洲古渡
渡口类,扬州市,宝应县,古邗沟码头
渡口类,镇江市,润州区,西津渡
渡口类,镇江市,润州区,小码头
渡口类,镇江市,润州区,玉山大码头
渡口类,镇江市,润州区,袁公义渡
渡口类,镇江市,丹徒区,高资港
渡口类,镇江市,句容市,下蜀港
渡口类,泰州市,高港区,龙窝码头
渡口类,宿迁市,宿城区,东关口
水利设施类,南京市,玄武区,武庙闸
水利设施类,南京市,秦淮区,东水关
水利设施类,南京市,江宁区,方山埭
水利设施类,南京市,高淳区,水阳江水牮
水利设施类,无锡市,梁溪区,黄埠墩
水利设施类,无锡市,宜兴市,大石坝
水利设施类,徐州市,云龙区,矶嘴坝
水利设施类,徐州市,贾汪区,解台船闸
水利设施类,徐州市,铜山区,蔺家坝
水利设施类,常州市,钟楼区,新闸
水利设施类,苏州市,相城区,望亭水利枢纽
水利设施类,苏州市,姑苏区,白公堤
水利设施类,苏州市,姑苏区,盘门水门
水利设施类,苏州市,吴江区,瓜泾口水利枢纽
水利设施类,苏州市,常熟市,白茆闸
水利设施类,苏州市,常熟市,福山闸
水利设施类,苏州市,常熟市,望虞闸
水利设施类,苏州市,太仓市,海塘
水利设施类,南通市,崇川区,陆洪闸
水利设施类,南通市,崇川区,唐家闸
水利设施类,南通市,如皋市,东水关
水利设施类,淮安市,淮安区,古末口
水利设施类,淮安市,淮安区,北辰堰
水利设施类,淮安市,淮安区,板闸
水利设施类,淮安市,淮阴区,高家堰
水利设施类,淮安市,淮阴区,双金闸
水利设施类,淮安市,淮阴区,古清口
水利设施类,淮安市,淮阴区,天妃坝
水利设施类,淮安市,清江浦区,清江大闸
水利设施类,盐城市,大丰区,草堰石闸
水利设施类,扬州市,广陵区,龙头关
水利设施类,扬州市,广陵区,茱萸湾闸
水利设施类,扬州市,江都区,江都水利枢纽
水利设施类,扬州市,江都区,邵伯船闸
水利设施类,扬州市,宝应县,刘堡减水闸
水利设施类,扬州市,仪征市,东门水门
水利设施类,扬州市,高邮市,平津堰
水利设施类,扬州市,高邮市,子婴闸
水利设施类,镇江市,润州区,京口闸
水利设施类,镇江市,句容市,破冈渎
水利设施类,镇江市,句容市,上容渎
水利设施类,泰州市,海陵区,南水门
水利设施类,泰州市,海陵区,滕坝
水利设施类,宿迁市,宿豫区,刘老涧船闸
水利设施类,宿迁市,泗洪县,浮山堰